age,sex,job,housing,saving_accounts,credit_amount,duration,purpose,risk,income,education,marital_status,number_of_children,credit_score,credit_assignment
30,male,2,own,little,11480.652795639102,12,radio/TV,good,1007047.0958544208,Doctorate,Married,0,Average,Yes
27,female,2,own,moderate,47513.47891664159,12,radio/TV,good,273023.5227516691,Doctorate,Married,3,Low,Yes
24,male,2,own,little,29364.90008464797,18,radio/TV,good,1136126.5114115966,Associates's Degree,Single,1,High,Yes
34,female,2,own,quite rich,23530.54547284473,24,car,good,237299.73760517192,Doctorate,Single,0,Low,No
25,female,2,own,little,27915.265437097227,21,radio/TV,bad,81495.71293624185,Master's Degree,Single,0,High,Yes
24,male,2,free,little,73878.82270317891,48,car,bad,1269299.37622988,Master's Degree,Married,3,High,Yes
31,male,2,own,little,21920.25387748641,15,radio/TV,good,1158896.362594562,Doctorate,Married,2,Average,No
22,male,2,own,quite rich,23006.151939069707,15,repairs,good,382316.56605848414,High School Diploma,Single,2,High,No
29,female,0,own,little,61376.25807560001,36,domestic appliances,good,179157.8889292954,Associates's Degree,Married,0,Average,No
34,male,1,own,little,27129.430900765343,6,business,good,1036829.0798670877,High School Diploma,Married,1,High,Yes
29,female,3,own,little,42209.26470375973,24,car,good,141952.82154346592,High School Diploma,Married,3,Low,No
23,female,2,rent,moderate,135515.08840905246,18,education,good,783023.4115429941,Master's Degree,Married,3,High,Yes
30,male,2,own,little,57579.42002669313,48,business,good,85713.09153805971,High School Diploma,Married,1,High,Yes
41,male,2,own,little,95852.5348589668,18,furniture/equipment,good,980832.782355563,Master's Degree,Married,1,Average,No
44,male,2,rent,little,40485.25030403472,6,radio/TV,good,71786.50464023543,Master's Degree,Single,0,High,Yes
27,male,2,own,little,16873.446473455704,15,radio/TV,good,170769.59708077306,High School Diploma,Single,1,Low,Yes
29,female,2,own,little,8482.57973706759,6,radio/TV,good,1232022.7809799938,Master's Degree,Married,0,Low,Yes
31,male,2,own,little,44851.85592795372,18,car,bad,397852.9476619469,Associates's Degree,Married,3,Average,No
22,male,2,own,moderate,21626.59470419593,12,radio/TV,bad,820211.911735635,Doctorate,Married,3,High,No
50,male,2,own,little,24823.197854053964,24,business,good,368052.8011780436,Doctorate,Single,0,High,No
33,male,2,own,little,19786.59485836072,18,radio/TV,bad,154533.566392175,High School Diploma,Married,2,Low,Yes
49,male,2,own,little,136762.16877341457,30,furniture/equipment,bad,1384338.3141228335,Associates's Degree,Married,0,Low,Yes
42,male,2,free,quite rich,21480.7219603216,6,radio/TV,good,86515.25375748274,Master's Degree,Single,0,High,Yes
61,male,2,free,little,20233.17781261657,18,education,good,1025468.1276494892,Doctorate,Single,1,Average,No
33,female,2,own,little,50665.9626929949,18,furniture/equipment,good,1465417.4654038094,Associates's Degree,Married,1,High,No
44,male,2,rent,little,42346.50840429455,6,radio/TV,good,73722.66397487042,Master's Degree,Single,0,High,Yes
35,female,2,own,little,21157.58892948532,12,radio/TV,good,512017.6533502964,Bachelor's Degree,Married,0,High,Yes
31,male,2,own,little,86639.83934487925,36,business,good,52436.211839395895,High School Diploma,Married,0,Low,Yes
26,male,2,rent,little,43084.1105459129,15,business,good,862414.352547688,Associates's Degree,Married,1,Average,No
39,male,2,free,moderate,155421.25124905346,48,car,bad,419218.16729965,Doctorate,Single,1,Average,No
57,male,2,free,little,34023.93177814364,36,car,bad,44685.9171901111,Associate's Degree,Single,0,Average,No
52,male,2,own,little,15240.744555517014,9,education,good,25292.899143586,High School Diploma,Single,3,High,Yes
33,female,2,own,little,44688.03206854464,30,radio/TV,good,72381.41124525858,Doctorate,Married,3,Low,Yes
32,male,2,own,little,47942.080711549446,6,furniture/equipment,good,1088049.978101386,Master's Degree,Married,2,Low,No
33,male,2,own,quite rich,20319.27914438789,18,radio/TV,bad,155300.60971195568,High School Diploma,Married,2,Low,Yes
29,female,2,own,little,30616.22617977984,12,car,good,1071045.7943259445,Associates's Degree,Single,1,Average,Yes
48,female,1,own,quite rich,69743.47182271307,24,furniture/equipment,good,1056788.802067036,Master's Degree,Single,0,Low,Yes
23,female,1,rent,little,51216.72914329954,24,furniture/equipment,bad,916643.8373291978,Master's Degree,Married,3,Average,Yes
44,male,2,rent,little,42921.81067049245,6,radio/TV,good,71368.98287204946,Master's Degree,Single,0,High,Yes
41,male,2,own,little,95396.38171738546,18,furniture/equipment,good,1012688.3586251652,Master's Degree,Married,1,Average,No
46,male,2,own,little,40742.81677229063,24,radio/TV,good,723460.7985834711,Bachelor's Degree,Married,2,Low,Yes
36,male,2,free,little,13918.307152746716,7,radio/TV,good,1114084.2768174538,High School Diploma,Married,1,Low,No
27,male,2,rent,little,131271.4950413059,36,business,bad,1340036.2609827342,Doctorate,Married,3,Average,Yes
36,male,2,own,little,34746.148911282646,30,car,good,453785.1466195069,High School Diploma,Single,3,Low,Yes
22,male,2,own,little,21458.52526157609,12,radio/TV,bad,804409.881740451,Doctorate,Married,3,High,No
39,male,2,own,little,34861.26006494877,36,radio/TV,good,117315.69970592056,High School Diploma,Married,0,High,Yes
40,male,3,own,little,117412.71368155172,18,furniture/equipment,good,790756.4508454332,Master's Degree,Married,3,High,Yes
41,male,2,own,little,37696.83384190139,30,business,good,1045539.431792784,High School Diploma,Married,1,High,No
40,male,2,own,rich,42540.90822207131,22,radio/TV,good,1258235.9501706846,Master's Degree,Married,3,Low,No
27,male,1,own,moderate,18264.01157689033,12,car,good,414005.2365218265,Doctorate,Single,2,High,No
59,female,2,rent,little,100217.93017469328,48,business,bad,956799.5168532968,Doctorate,Single,2,Average,No
30,male,2,own,quite rich,11548.55989107137,12,radio/TV,good,989482.276565005,Doctorate,Married,0,Average,Yes
46,male,2,own,little,42200.5732948501,24,radio/TV,good,723566.3967425703,Bachelor's Degree,Married,2,Low,Yes
44,female,2,own,little,89096.25990758478,24,radio/TV,bad,47751.234441617606,High School Diploma,Single,0,Average,Yes
53,male,2,free,little,78570.68281877272,24,car,bad,90755.15795827612,Bachelor's Degree,Married,3,High,No
32,male,1,free,little,23610.81389821653,18,car,bad,687445.1792450518,Associates's Degree,Married,3,High,No
35,male,2,own,rich,38575.88939407717,24,car,good,473441.722075144,High School Diploma,Single,2,Low,No
32,male,2,rent,little,177264.53039298786,39,education,good,249311.6329425329,Master's Degree,Married,3,Low,Yes
25,female,2,own,moderate,38293.53187149754,36,radio/TV,good,82979.40738433418,Master's Degree,Married,2,High,No
24,male,2,own,little,90998.08920140503,36,radio/TV,good,119102.2213052116,High School Diploma,Married,0,High,No
27,male,3,free,moderate,143139.04637944704,60,radio/TV,good,367161.3481751126,Bachelor's Degree,Single,0,Low,No
26,male,2,own,little,82959.26472031532,21,car,good,966050.1189167396,High School Diploma,Married,1,Low,No
37,male,2,free,little,36278.43327208048,12,radio/TV,good,54789.01227157461,Bachelor's Degree,Single,3,Average,Yes
27,male,1,own,little,16874.11987256547,9,radio/TV,good,1102371.8131433986,Doctorate,Single,1,Low,No
58,female,1,own,little,27098.72363942775,24,vacation/others,good,80087.89581190067,Doctorate,Married,1,High,No
47,male,1,own,little,21082.37116937744,15,radio/TV,good,365892.3628304203,Bachelor's Degree,Single,0,Average,Yes
41,female,3,rent,little,61452.58791955027,24,car,good,68928.87449954059,Doctorate,Married,1,High,Yes
29,female,2,own,little,51498.093782835625,21,radio/TV,good,592967.6031594303,Doctorate,Single,1,Average,Yes
23,female,2,own,quite rich,15660.903168867091,12,repairs,good,602541.7274939797,Master's Degree,Married,2,Low,Yes
29,male,1,own,little,22807.060830804337,4,car,good,1316819.340094992,Bachelor's Degree,Single,1,High,Yes
33,male,2,own,moderate,24362.399697376208,24,car,good,591235.2036407049,Bachelor's Degree,Single,3,Average,Yes
28,male,3,rent,quite rich,144580.34602469116,36,car,bad,1064487.179531337,Doctorate,Married,0,High,No
25,female,2,own,moderate,38804.268482308784,36,radio/TV,good,79129.61674226259,Master's Degree,Married,2,High,No
35,male,0,own,little,24270.34709894746,9,car,good,220197.14214530008,Bachelor's Degree,Married,2,Average,Yes
37,female,2,rent,little,123451.98325398838,48,business,bad,681981.1000522479,High School Diploma,Single,2,Average,Yes
30,female,2,own,moderate,132899.27692533846,48,car,good,710869.4515768386,Master's Degree,Married,3,Average,No
23,female,1,own,quite rich,15738.63193152103,18,car,bad,1341708.091082123,High School Diploma,Married,3,Average,Yes
34,male,1,own,little,193674.800612228,30,repairs,bad,248274.81029928027,Bachelor's Degree,Single,2,Low,No
26,female,3,rent,quite rich,69866.55325674027,30,radio/TV,good,1279436.4898546876,Master's Degree,Married,3,Average,Yes
60,male,1,own,little,18587.526962579883,24,car,bad,48932.0101048552,Associate's Degree,Single,0,Average,No
21,male,1,own,little,98325.83166019086,24,business,good,1167163.072169679,High School Diploma,Single,1,High,No
27,female,2,rent,little,14876.387483207613,12,furniture/equipment,bad,876405.0119313746,Master's Degree,Single,3,Average,Yes
26,female,2,own,little,163051.09480683433,48,furniture/equipment,bad,1087379.9023698005,Bachelor's Degree,Single,2,High,No
27,male,2,own,rich,139129.64350797213,27,car,good,91182.53187153372,Master's Degree,Married,2,High,Yes
29,male,2,own,quite rich,22264.5970746754,9,car,bad,724741.9771265147,High School Diploma,Single,3,Average,No
52,female,1,own,moderate,5464.335933961053,6,car,good,1319274.8966034057,Bachelor's Degree,Single,3,Average,Yes
31,male,2,own,little,56190.80057743658,12,car,good,423068.098529305,Master's Degree,Married,2,High,Yes
34,male,2,free,little,104133.40745901733,60,car,good,489275.721593992,Bachelor's Degree,Single,2,Average,No
44,male,2,free,little,151664.33288629743,48,car,bad,289439.7942411501,Doctorate,Single,3,High,No
53,male,2,free,moderate,108403.2900920598,48,furniture/equipment,bad,619561.6239025173,Master's Degree,Single,1,High,No
25,female,2,own,little,43342.81671751852,12,furniture/equipment,bad,53057.65534402835,High School Diploma,Single,0,Low,No
24,female,2,own,little,139481.8470752376,48,car,good,82656.37033488363,Doctorate,Single,0,High,Yes
30,male,2,free,little,46769.59271475901,36,car,good,262907.80217340635,Associates's Degree,Single,1,Average,No
29,female,1,rent,quite rich,17267.619196648673,12,furniture/equipment,bad,77319.01088455952,Master's Degree,Single,3,Average,Yes
27,male,1,own,little,17301.01861406698,9,radio/TV,good,1100867.5118985586,Doctorate,Single,1,Low,No
38,male,2,own,little,54042.08753674182,24,car,good,113189.52609495816,Associate's Degree,Married,0,High,Yes
49,female,2,own,quite rich,16765.683221758864,12,radio/TV,good,971823.3482510656,Doctorate,Single,3,High,Yes
35,male,3,own,little,16749.267385827912,6,furniture/equipment,good,916641.2454968792,Doctorate,Married,0,Average,No
35,male,3,own,little,15759.23214175241,6,furniture/equipment,good,919918.9975479296,Doctorate,Married,0,Average,No
26,male,2,own,little,22711.486738324707,24,business,good,422008.1485044143,High School Diploma,Single,0,Low,No
26,female,2,own,little,150447.56088847033,48,furniture/equipment,bad,1055562.1291273746,Bachelor's Degree,Single,2,High,No
35,male,2,own,little,34997.536858206746,12,radio/TV,good,1143530.7162576157,Associates's Degree,Married,2,Low,No
31,male,3,own,little,138288.4239241245,36,car,good,487863.9391410157,Master's Degree,Married,3,High,No
47,male,2,own,little,36613.995838170726,21,car,good,311937.17832193733,Master's Degree,Married,3,High,Yes
27,male,1,own,little,17235.778226430375,9,radio/TV,good,1084517.7211247373,Doctorate,Single,1,Low,No
24,female,2,rent,little,23629.93026126941,6,radio/TV,good,691869.3483384147,High School Diploma,Married,3,Average,Yes
47,male,1,own,little,39131.62995711666,24,car,bad,170491.83139290198,Associates's Degree,Married,3,Average,No
41,male,1,own,little,13823.081380544289,12,car,bad,73652.98928415793,Associates's Degree,Married,2,High,Yes
49,male,1,own,moderate,32611.81908416985,12,education,good,69115.5933235036,Doctorate,Married,1,High,No
43,female,1,own,little,22571.955818676743,15,radio/TV,good,68460.62781241976,Bachelor's Degree,Single,3,High,Yes
30,male,2,own,quite rich,10824.89691637569,12,radio/TV,good,945643.6470432515,Doctorate,Married,0,Average,Yes
24,female,2,own,little,34864.25521594844,30,car,bad,916375.2568121292,Doctorate,Single,0,Average,Yes
27,male,1,own,little,113418.97406351408,60,radio/TV,good,747690.9584215543,Associates's Degree,Married,2,Low,Yes
26,female,2,own,moderate,36824.94871948824,18,radio/TV,good,492599.8324788394,High School Diploma,Single,1,Average,No
41,male,2,own,little,40811.77234536056,30,business,good,1027073.3459967212,High School Diploma,Married,1,High,No
31,male,2,own,little,71729.86113708004,36,radio/TV,good,470541.1540417968,High School Diploma,Single,2,High,No
42,male,2,own,little,8005.919428617473,12,radio/TV,good,777154.1131762617,High School Diploma,Single,2,High,No
38,male,3,own,little,90166.73419197297,36,car,good,989167.4863607704,Master's Degree,Married,1,High,No
37,male,2,own,rich,33007.94017309534,18,radio/TV,bad,80282.38145881749,Master's Degree,Married,2,High,No
36,male,2,own,moderate,21770.2341278804,12,car,bad,237329.26424302984,Master's Degree,Single,0,Average,No
50,female,1,own,little,16305.642456208532,6,education,good,738557.338724804,High School Diploma,Single,3,Average,No
26,male,2,own,little,21727.19610085983,24,business,good,422156.96285957645,High School Diploma,Single,0,Low,No
25,male,1,rent,rich,35912.27268987602,10,furniture/equipment,bad,1062510.878085839,Doctorate,Single,3,High,Yes
27,male,2,own,little,45860.89824805205,36,car,bad,227521.3913252288,High School Diploma,Single,3,Average,Yes
41,male,2,own,moderate,44849.350372847766,36,furniture/equipment,bad,165357.24123217503,Master's Degree,Single,2,High,Yes
40,male,3,rent,little,31467.16024946049,15,education,good,944339.5016500351,Doctorate,Married,2,Low,No
33,male,1,own,little,11655.244545392268,12,radio/TV,bad,296356.78520719847,Associates's Degree,Married,3,Low,Yes
26,male,2,own,little,79838.43088330449,27,business,good,110081.465659524,High School Diploma,Single,2,High,Yes
36,male,3,own,little,19517.915086514484,6,education,good,1017683.8123846292,Doctorate,Married,3,Average,No
23,female,1,own,little,15970.510460960131,18,car,bad,1339736.5320447327,High School Diploma,Married,3,Average,Yes
26,male,2,own,rich,20974.969368579223,18,radio/TV,bad,589416.297624205,Doctorate,Married,1,Average,Yes
49,male,1,own,little,55848.99027014338,30,radio/TV,good,625494.9406879151,Doctorate,Single,1,High,No
59,female,2,own,little,82651.5638428951,15,car,good,106093.96627942176,High School Diploma,Married,3,Low,Yes
29,male,1,own,little,37188.68748350651,24,furniture/equipment,good,82111.66480333716,Master's Degree,Single,0,High,No
29,male,2,own,little,17991.671076237566,12,radio/TV,good,58092.91878869871,Doctorate,Single,0,Average,No
22,female,2,own,little,24537.06936424367,12,radio/TV,good,32159.71388397549,High School Diploma,Single,0,Low,No
74,male,3,own,little,73285.4435898825,24,business,good,590784.8404670875,High School Diploma,Single,1,Low,No
42,male,2,own,rich,68318.73720078365,18,furniture/equipment,bad,1008158.5783490576,Doctorate,Married,2,Low,No
54,male,2,own,little,21156.55875746313,12,car,good,102279.02361069284,Master's Degree,Married,2,High,No
51,male,2,own,little,55116.68447127499,36,radio/TV,good,153112.1803010721,Associates's Degree,Single,2,High,Yes
29,male,3,rent,little,142795.9851915733,36,furniture/equipment,bad,98125.16142522891,Associates's Degree,Married,1,High,No
35,male,2,own,little,32531.69178356232,12,radio/TV,good,1189548.8114881665,Associates's Degree,Married,2,Low,No
42,male,2,own,little,8240.535539317107,12,radio/TV,good,744096.5935681735,High School Diploma,Single,2,High,No
29,male,3,rent,little,28624.797031422502,24,radio/TV,good,1018004.611668602,Associates's Degree,Single,1,Average,No
30,male,1,own,little,32780.37529174784,24,furniture/equipment,good,602041.0836035294,High School Diploma,Single,3,Average,Yes
46,male,1,rent,little,11087.618248800618,7,radio/TV,good,83983.94965706198,High School Diploma,Married,1,High,No
